package,repo
libclone-perl,https://github.com/garu/Clone
libdisplay-info,https://gitlab.freedesktop.org/emersion/libdisplay-info
lua5.4,https://github.com/lua/lua
cryptsetup,https://gitlab.com/cryptsetup/cryptsetup
efivar,https://github.com/rhboot/efivar
libical3,https://github.com/libical/libical
evolution-data-server,https://github.com/GNOME/evolution-data-server
udisks2,https://github.com/storaged-project/udisks
libgphoto2,https://github.com/gphoto/libgphoto2
geocode-glib,https://gitlab.gnome.org/GNOME/geocode-glib
libnumbertext,https://github.com/Numbertext/libnumbertext
libinih,https://github.com/benhoyt/inih
libcompress-raw-bzip2-perl,https://github.com/pmqs/Compress-Raw-Bzip2
libcompress-raw-zlib-perl,https://github.com/pmqs/Compress-Raw-Zlib
openfec,https://github.com/roc-streaming/openfec
tcl8.6,https://github.com/tcltk/tcl
libgweather4,https://gitlab.gnome.org/GNOME/libgweather
ghostscript,https://github.com/ArtifexSoftware/ghostpdl
exiv2,https://github.com/Exiv2/exiv2
kcoreaddons,https://invent.kde.org/frameworks/kcoreaddons
modemmanager,https://gitlab.freedesktop.org/mobile-broadband/ModemManager
libhtml-parser-perl,https://github.com/libwww-perl/HTML-Parser
bluez,https://github.com/bluez/bluez
kconfig,https://invent.kde.org/frameworks/kconfig
libxfce4util,https://gitlab.xfce.org/xfce/libxfce4util
libbytesize,https://github.com/storaged-project/libbytesize
totem-pl-parser,https://gitlab.gnome.org/GNOME/totem-pl-parser
file,https://github.com/file/file
jbig2dec,https://github.com/ArtifexSoftware/jbig2dec
hidapi,https://github.com/libusb/hidapi
libldac,https://android.googlesource.com/platform/external/libldac
plasma-activities,https://invent.kde.org/plasma/plasma-activities
libnvme,https://github.com/linux-nvme/libnvme
qt6-speech,https://github.com/qt/qtspeech
gssdp,https://gitlab.gnome.org/GNOME/gssdp
volume-key,https://pagure.io/volume_key/tree/
libnet-ssleay-perl,https://github.com/radiator-software/p5-net-ssleay
kf6-kbookmarks,https://invent.kde.org/frameworks/kbookmarks
ki18n,https://invent.kde.org/frameworks/ki18n
argon2,https://github.com/P-H-C/phc-winner-argon2
network-manager,https://gitlab.freedesktop.org/NetworkManager/NetworkManager
tk8.6,https://github.com/tcltk/tk
libfreeaptx,https://github.com/regularhunter/libfreeaptx
liblc3,https://github.com/google/liblc3
kf6-syndication,https://invent.kde.org/frameworks/syndication
libxres,https://gitlab.freedesktop.org/xorg/lib/libxres
libatasmart,https://github.com/libatasmart/libatasmart
kf6-attica,https://invent.kde.org/frameworks/attica
kf6-knewstuff,https://invent.kde.org/frameworks/knewstuff
xmlsec1,https://github.com/lsh123/xmlsec
jackd2,https://github.com/jackaudio/jack2
libmanette,https://gitlab.gnome.org/GNOME/libmanette
gupnp,https://gitlab.gnome.org/GNOME/gupnp
libwnck3,https://gitlab.gnome.org/GNOME/libwnck
libsdl2,https://github.com/libsdl-org/SDL
faad2,https://github.com/knik0/faad2
gcr,https://gitlab.gnome.org/GNOME/gcr
python-charset-normalizer,https://github.com/jawah/charset_normalizer
libnfs,https://github.com/sahlberg/libnfs
xfconf,https://gitlab.xfce.org/xfce/xfconf
xdg-dbus-proxy,https://github.com/flatpak/xdg-dbus-proxy
woff2,https://github.com/google/woff2
libexttextcat,https://git.libreoffice.org/libexttextcat
libbpf,https://github.com/libbpf/libbpf
libxfce4ui,https://gitlab.xfce.org/xfce/libxfce4ui
libcbor,https://github.com/PJK/libcbor
imath,https://github.com/AcademySoftwareFoundation/Imath
lsof,https://github.com/lsof-org/lsof
rasqal,https://github.com/dajobe/rasqal
clucene-core,https://sourceforge.net/p/clucene/code/ci/master/tree/
libhandy-1,https://gitlab.gnome.org/GNOME/libhandy
libgee-0.8,https://gitlab.gnome.org/GNOME/libgee
klibc,https://git.kernel.org/pub/scm/libs/klibc/klibc.git
zxcvbn-c,https://github.com/tsyrogit/zxcvbn-c
redland,https://github.com/ropensci/redland-bindings/tree/master
libeot,https://github.com/umanwizard/libeot
libcmis,https://github.com/tdf/libcmis
qtsvg-opensource-src,https://github.com/qt/qtsvg
libdmtx,https://github.com/dmtx/libdmtx
accountsservice,https://gitlab.freedesktop.org/accountsservice/accountsservice
openexr,https://github.com/AcademySoftwareFoundation/openexr
libieee1284,https://github.com/twaugh/libieee1284
grub2,https://git.savannah.gnu.org/git/grub.git
sane-backends,https://gitlab.com/sane-project/backends
libcdio,https://github.com/libcdio/libcdio-paranoia
kf6-prison,https://invent.kde.org/frameworks/prison
libaccounts-glib,https://gitlab.com/accounts-sso/libaccounts-glib
gnome-autoar,https://gitlab.gnome.org/GNOME/gnome-autoar
openal-soft,https://github.com/kcat/openal-soft
vlc,https://github.com/videolan/vlc
signond,https://gitlab.com/accounts-sso/signond
gvfs,https://gitlab.gnome.org/GNOME/gvfs
kwidgetsaddons,https://invent.kde.org/frameworks/kwidgetsaddons
ibus,https://github.com/ibus/ibus
kauth,https://invent.kde.org/frameworks/kauth
protobuf-c,https://github.com/protobuf-c/protobuf-c
kf6-syntax-highlighting,https://invent.kde.org/frameworks/syntax-highlighting
malcontent,https://gitlab.freedesktop.org/pwithnall/malcontent
pcsc-lite,https://github.com/LudovicRousseau/PCSC
cogl,https://gitlab.gnome.org/GNOME/cogl
qt6-shadertools,https://code.qt.io/cgit/qt/qtshadertools.git
geoclue-2.0,https://gitlab.freedesktop.org/geoclue/geoclue
kcodecs,https://invent.kde.org/frameworks/kcodecs
gupnp-igd,https://gitlab.gnome.org/GNOME/gupnp-igd
kf6-ktextwidgets,https://invent.kde.org/frameworks/ktextwidgets
cpio,https://git.savannah.gnu.org/git/cpio.git
libgusb,https://github.com/hughsie/libgusb
tinysparql,https://gitlab.gnome.org/GNOME/tinysparql
karchive,https://invent.kde.org/frameworks/karchive
kaccounts-integration,https://invent.kde.org/network/kaccounts-integration
qt6-webchannel,https://code.qt.io/cgit/qt/qtwebchannel.git
libgxps,https://gitlab.gnome.org/GNOME/libgxps
libfido2,https://github.com/Yubico/libfido2
kguiaddons,https://invent.kde.org/frameworks/kguiaddons
dracut,https://github.com/dracutdevs/dracut
coreutils,https://git.savannah.gnu.org/git/coreutils.git
texlive-bin,https://github.com/TeX-Live/texlive-source
libnma,https://gitlab.gnome.org/GNOME/libnma
kf6-bluez-qt,https://invent.kde.org/frameworks/bluez-qt
cracklib2,https://github.com/cracklib/cracklib
wireplumber,https://gitlab.freedesktop.org/pipewire/wireplumber
libpipeline,https://gitlab.com/libpipeline/libpipeline
kf6-ksvg,https://invent.kde.org/frameworks/ksvg
kconfigwidgets,https://invent.kde.org/frameworks/kconfigwidgets
kf6-purpose,https://invent.kde.org/frameworks/purpose
libnice,https://gitlab.freedesktop.org/libnice/libnice
gspell,https://gitlab.gnome.org/GNOME/gspell
libgsf,https://gitlab.gnome.org/GNOME/libgsf
libcdio-paranoia,https://github.com/rocky/libcdio-paranoia
libpeas,https://gitlab.gnome.org/GNOME/libpeas
libxxf86dga,https://gitlab.freedesktop.org/xorg/lib/libxxf86dga
libplasma,https://invent.kde.org/plasma/libplasma
kwindowsystem,https://invent.kde.org/frameworks/kwindowsystem
gsound,https://gitlab.gnome.org/GNOME/gsound
libpwquality,https://github.com/libpwquality/libpwquality
kf6-kparts,https://invent.kde.org/frameworks/kparts
exempi,https://gitlab.freedesktop.org/libopenraw/exempi
sphinxbase,https://github.com/cmusphinx/sphinxbase
kiconthemes,https://invent.kde.org/frameworks/kiconthemes
gjs,https://gitlab.gnome.org/GNOME/gjs
libei,https://gitlab.freedesktop.org/libinput/libei
libraw,https://github.com/LibRaw/LibRaw
iproute2,https://git.kernel.org/pub/scm/network/iproute2/iproute2.git
libsoup2.4,https://gitlab.gnome.org/GNOME/libsoup
kdbusaddons,https://invent.kde.org/frameworks/kdbusaddons
libosinfo,https://gitlab.com/libosinfo/libosinfo
gexiv2,https://gitlab.gnome.org/GNOME/gexiv2
gtk-layer-shell,https://github.com/wmww/gtk-layer-shell
ktextaddons,https://invent.kde.org/libraries/ktextaddons
libnftnl,https://git.netfilter.org/libnftnl/
kservice,https://invent.kde.org/frameworks/kservice
clutter-1.0,https://gitlab.gnome.org/GNOME/clutter
dbus-python,https://gitlab.freedesktop.org/dbus/dbus-python
libinstpatch,https://github.com/swami/libinstpatch
packagekit,https://github.com/PackageKit/PackageKit
librest,https://gitlab.gnome.org/GNOME/librest
vte2.91,https://gitlab.gnome.org/GNOME/vte
gnome-settings-daemon,https://gitlab.gnome.org/GNOME/gnome-settings-daemon
libb-hooks-op-check-perl,https://github.com/karenetheridge/B-Hooks-OP-Check
openssh,https://github.com/openssh/openssh-portable
sonnet,https://invent.kde.org/frameworks/sonnet
pocketsphinx,https://github.com/cmusphinx/pocketsphinx
gst-plugins-bad1.0,https://gitlab.freedesktop.org/gstreamer/gst-plugins-bad
rubberband,https://github.com/breakfastquay/rubberband
kcmutils,https://invent.kde.org/frameworks/kcmutils
liblinear,https://github.com/cjlin1/liblinear
light-locker,https://github.com/the-cavalry/light-locker
freeglut,https://github.com/freeglut/freeglut
java-atk-wrapper,https://gitlab.gnome.org/GNOME/java-atk-wrapper
sg3-utils,https://github.com/hreinecke/sg3_utils
libmouse-perl,https://github.com/xslate/p5-Mouse
marco,https://github.com/mate-desktop/marco
xfce4-clipman-plugin,https://gitlab.xfce.org/panel-plugins/xfce4-clipman-plugin
ding-libs,https://github.com/SSSD/ding-libs
libnatpmp,https://github.com/miniupnp/libnatpmp
futuresql,https://github.com/KDE/futuresql
libmms,https://git.code.sf.net/p/libmms/code libmms-code
sssd,https://github.com/SSSD/sssd
transmission,https://github.com/transmission/transmission
rtaudio,https://github.com/thestk/rtaudio
python-coverage,https://github.com/nedbat/coveragepy
prison-kf5,https://invent.kde.org/frameworks/prison
xfce4-session,https://gitlab.xfce.org/xfce/xfce4-session
xfce4-appfinder,https://gitlab.xfce.org/xfce/xfce4-appfinder
xfce4-pulseaudio-plugin,https://gitlab.xfce.org/panel-plugins/xfce4-pulseaudio-plugin
graphicsmagick,https://sourceforge.net/p/graphicsmagick/code/ci/default/tree/
virglrenderer,https://gitlab.freedesktop.org/virgl/virglrenderer
libpadwalker-perl,https://metacpan.org/dist/PadWalker
mate-settings-daemon,https://github.com/mate-desktop/mate-settings-daemon
python-msgpack,https://github.com/msgpack/msgpack-python
mailutils,https://git.savannah.gnu.org/git/mailutils.git
nmap,https://github.com/nmap/nmap
rpart,https://github.com/buserror/simavr
mate-notification-daemon,https://github.com/mate-desktop/mate-notification-daemon
fltk1.3,https://github.com/fltk/fltk
python-multidict,https://github.com/aio-libs/multidict
kfilemetadata-kf5,https://invent.kde.org/frameworks/kfilemetadata
